directory_year,survey_year,filename,source_url,sha256,start_page,end_page,n_columns,layout_profile,delimiter,margin,overlap,crop_top,crop_bottom,expected_category_count
1998,1998,National_Directory_SA_facilities_1998.pdf,https://www.samhsa.gov/data/data-we-collect/n-sumhss-national-substance-use-and-mental-health-services-survey/national-directories,5de23f04b57b4b39277d4f25c59aa9098b57cdb59334c0fdb789b3d8271ccbd8,12,568,3,early_ocr,slash,40,-4,24,28,8
2000,1999,National_Directory_SA_facilities_2000.pdf,https://www.samhsa.gov/data/data-we-collect/n-sumhss-national-substance-use-and-mental-health-services-survey/national-directories,223520e990d734a7a1c856259c460ae6ef8739b91d20f01d5c06032841470e00,17,618,3,early_ocr,slash,51,10,24,28,8
2001,2000,National_Directory_SA_facilities_2001.pdf,https://www.samhsa.gov/data/data-we-collect/n-sumhss-national-substance-use-and-mental-health-services-survey/national-directories,0b98ab5601f5f0c185ca32e6cb0f4d4b0f6e60c27a8091bf0cfd6ff7512ba3f3,34,702,3,early_ocr,slash,51,-5,24,28,8
2003,2002,National_Directory_SA_facilities_2003.pdf,https://www.samhsa.gov/data/data-we-collect/n-sumhss-national-substance-use-and-mental-health-services-survey/national-directories,1147894193f8767b185157d37e8fea6459adc8b7641454f61325a826c397df56,15,742,3,three_column,diamond,30,-5,24,28,8
2004,2003,National_Directory_SA_facilities_2004.pdf,https://www.samhsa.gov/data/data-we-collect/n-sumhss-national-substance-use-and-mental-health-services-survey/national-directories,29e31177fbca101d870d3c6582ebc8a6b08824ae5c4229f03a71453b13150f6f,19,769,3,three_column,diamond,30,-5,24,28,8
2005,2004,National_Directory_SA_facilities_2005.pdf,https://www.samhsa.gov/data/data-we-collect/n-sumhss-national-substance-use-and-mental-health-services-survey/national-directories,0c6bd9bf5f8e5c34999554c1c582930b1c53fe54e0b86a5bd866fa78adb31eb2,15,731,3,three_column,diamond,30,-5,24,28,8
2006,2005,National_Directory_SA_facilities_2006.pdf,https://www.samhsa.gov/data/data-we-collect/n-sumhss-national-substance-use-and-mental-health-services-survey/national-directories,fcf1f74d6ce7f88f46d3b0b7aa3da20b1dba34fd3d63cc981b57ffad8fe8cdf7,15,723,3,three_column,diamond,30,-5,24,28,8
2007,2006,National_Directory_SA_facilities_2007.pdf,https://www.samhsa.gov/data/data-we-collect/n-sumhss-national-substance-use-and-mental-health-services-survey/national-directories,9ff58bd20a3727323df14bdc741f8af732f681cef66c13671809335cbf4f3ff5,15,680,3,three_column,diamond,30,-5,24,28,8
2008,2007,National_Directory_SA_facilities_2008.pdf,https://www.samhsa.gov/data/data-we-collect/n-sumhss-national-substance-use-and-mental-health-services-survey/national-directories,fae0d0d935c26aea013f8244b27a8b3278ad416a59b98e45bdad5bf205b99c72,15,703,3,three_column,diamond,30,-5,24,28,8
2009,2008,National_Directory_SA_facilities_2009.pdf,https://www.samhsa.gov/data/data-we-collect/n-sumhss-national-substance-use-and-mental-health-services-survey/national-directories,5386aecc18ee4ee52fd048925733ccb6f85d962cedf399323a524d5b5a4a040e,15,710,3,three_column,diamond,30,-5,24,28,8
2010,2009,National_Directory_SA_facilities_2010.pdf,https://www.samhsa.gov/data/data-we-collect/n-sumhss-national-substance-use-and-mental-health-services-survey/national-directories,1192d8b40e8fe5d5b08c6ba255a3eee1ee6aeb8adf6e8c72f867c06e71fad618,15,714,3,three_column,diamond,30,-5,24,28,8
2011,2010,National_Directory_SA_facilities_2011.pdf,https://www.samhsa.gov/data/data-we-collect/n-sumhss-national-substance-use-and-mental-health-services-survey/national-directories,58d409b7c5c516305b2d12cc0678d6128156d9b6a03f3a17b06a68c148f9ecc6,17,715,3,three_column,diamond,30,-5,24,28,8
2012,2011,National_Directory_SA_facilities_2012.pdf,https://www.samhsa.gov/data/data-we-collect/n-sumhss-national-substance-use-and-mental-health-services-survey/national-directories,c1351316a3e901a0b3b84edc9bc347a1a2484529964de957d765ae0f42850633,16,720,3,three_column,diamond,30,-5,24,28,8
2013,2012,National_Directory_SA_facilities_2013.pdf,https://www.samhsa.gov/data/data-we-collect/n-sumhss-national-substance-use-and-mental-health-services-survey/national-directories,d0ca3f09ac9c771658d9c95ef290af57b54493d3c3c73c550bae65141e38cc9f,15,715,3,three_column,diamond,30,-5,24,28,8
2014,2013,National_Directory_SA_facilities_2014.pdf,https://www.samhsa.gov/data/data-we-collect/n-sumhss-national-substance-use-and-mental-health-services-survey/national-directories,4476f3bbb1adff14639e03f4f72e0daf424109ccbf2ac3c65343f7a7d9b4eaa9,15,757,3,three_column,diamond,30,-5,24,28,8
2015,2014,National_Directory_SA_facilities_2015.pdf,https://www.samhsa.gov/data/data-we-collect/n-sumhss-national-substance-use-and-mental-health-services-survey/national-directories,c9017921b86b9ce459cd56b063359f8693df8d41ec8e559fcebd69b10f4b7578,13,838,3,three_column,diamond,30,-5,24,28,8
2016,2015,National_Directory_SA_facilities_2016.pdf,https://www.samhsa.gov/data/data-we-collect/n-sumhss-national-substance-use-and-mental-health-services-survey/national-directories,439a71fa7791b66ba3649c47ba69052ef776201a21d5049fceb05b20caabf4c1,15,1102,3,three_column,diamond,30,-5,24,28,8
2017,2016,National_Directory_SA_facilities_2017.pdf,https://www.samhsa.gov/data/data-we-collect/n-sumhss-national-substance-use-and-mental-health-services-survey/national-directories,6e1bb3cfc425819368e45ab7b9492b41e5eb7e1efb026cc124069bdc2a9005bb,15,1422,3,three_column,diamond,30,-5,24,28,8
2018,2017,National_Directory_SA_facilities_2018.pdf,https://www.samhsa.gov/data/data-we-collect/n-sumhss-national-substance-use-and-mental-health-services-survey/national-directories,37d6a5257d0495a8306f1d8822a556f23c854a17b20814e6a0e458996154f513,15,1103,3,three_column_transition,circled,0,0,24,28,30
2019,2018,National_Directory_SA_facilities_2019.pdf,https://www.samhsa.gov/data/data-we-collect/n-sumhss-national-substance-use-and-mental-health-services-survey/national-directories,96eb92664a8e7cf378c72a0d48bb896abcab4859db687d0c80ae8fc1f9d54de4,14,1410,2,two_column,circled,0,0,24,28,30
2020,2019,National_Directory_SA_facilities_2020.pdf,https://www.samhsa.gov/data/data-we-collect/n-sumhss-national-substance-use-and-mental-health-services-survey/national-directories,e1e165ad6d2eaac30ab7ffba29e71ac320f56f4491e1ed2479182b09dbaf3e4a,15,1577,2,two_column,circled,0,0,24,28,30
2021,2020,National_Directory_SA_facilities_2021.pdf,https://www.samhsa.gov/data/data-we-collect/n-sumhss-national-substance-use-and-mental-health-services-survey/national-directories,d43617ef975289144bac188a12774856023598080255893e2c4d5cd8d0889575,15,1614,2,two_column,circled,0,0,24,28,31
