state,earlier_count,later_count,count_change,percent_change,transition
AK,89,90,1,0.011235955056179775,2019_to_2020
AL,124,129,5,0.04032258064516129,2019_to_2020
AR,136,149,13,0.09558823529411764,2019_to_2020
AZ,383,408,25,0.06527415143603134,2019_to_2020
CA,1172,1440,268,0.22866894197952217,2019_to_2020
CO,381,378,-3,-0.007874015748031496,2019_to_2020
CT,212,208,-4,-0.018867924528301886,2019_to_2020
DC,23,25,2,0.08695652173913043,2019_to_2020
DE,34,42,8,0.23529411764705882,2019_to_2020
FL,586,574,-12,-0.020477815699658702,2019_to_2020
GA,288,298,10,0.034722222222222224,2019_to_2020
HI,151,149,-2,-0.013245033112582781,2019_to_2020
IA,164,170,6,0.036585365853658534,2019_to_2020
ID,125,111,-14,-0.112,2019_to_2020
IL,644,724,80,0.12422360248447205,2019_to_2020
IN,323,355,32,0.09907120743034056,2019_to_2020
KS,167,172,5,0.029940119760479042,2019_to_2020
KY,392,413,21,0.05357142857142857,2019_to_2020
LA,120,123,3,0.025,2019_to_2020
MA,388,402,14,0.03608247422680412,2019_to_2020
MD,380,400,20,0.05263157894736842,2019_to_2020
ME,161,169,8,0.049689440993788817,2019_to_2020
MI,437,439,2,0.004576659038901602,2019_to_2020
MN,362,395,33,0.09116022099447514,2019_to_2020
MO,256,264,8,0.03125,2019_to_2020
MS,72,80,8,0.1111111111111111,2019_to_2020
MT,66,72,6,0.09090909090909091,2019_to_2020
NC,476,481,5,0.01050420168067227,2019_to_2020
ND,73,74,1,0.0136986301369863,2019_to_2020
NE,119,120,1,0.008403361344537815,2019_to_2020
NH,72,76,4,0.05555555555555555,2019_to_2020
NJ,342,344,2,0.005847953216374269,2019_to_2020
NM,130,140,10,0.07692307692307693,2019_to_2020
NV,69,81,12,0.17391304347826086,2019_to_2020
NY,825,842,17,0.020606060606060607,2019_to_2020
OH,415,447,32,0.07710843373493977,2019_to_2020
OK,173,184,11,0.06358381502890173,2019_to_2020
OR,210,215,5,0.023809523809523808,2019_to_2020
PA,547,565,18,0.03290676416819013,2019_to_2020
RI,54,58,4,0.07407407407407407,2019_to_2020
SC,103,108,5,0.04854368932038835,2019_to_2020
SD,52,54,2,0.038461538461538464,2019_to_2020
TN,232,286,54,0.23275862068965517,2019_to_2020
TX,456,457,1,0.0021929824561403508,2019_to_2020
UT,258,291,33,0.12790697674418605,2019_to_2020
VA,209,210,1,0.004784688995215311,2019_to_2020
VT,42,46,4,0.09523809523809523,2019_to_2020
WA,427,418,-9,-0.02107728337236534,2019_to_2020
WI,250,251,1,0.004,2019_to_2020
